timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519732442201188,8,3,-4,-7,-19,-4,1,-2
1519732442217231,5,6,10,20,18,5,-1,1
1519732442217231,-10,-4,0,-10,-3,11,5,1
1519732442220238,-48,-24,1,3,2,-1,0,-21
1519732442220238,36,15,-11,-12,-8,-1,-1,1
1519732442240298,6,3,-4,1,-1,-4,-4,-1
1519732442240298,3,-2,2,4,3,8,5,2
1519732442241295,-14,-11,-4,-1,-2,-10,-5,-3
1519732442241295,-7,-6,-2,1,6,7,1,-4
1519732442262350,-7,-1,3,-3,2,3,0,-1
1519732442262350,8,9,-3,0,0,1,-3,-3
1519732442264356,19,11,-3,-3,-2,4,2,4
1519732442264356,-3,-3,1,4,4,-11,-7,0
1519732442277390,1,4,8,1,-7,-11,-2,3
1519732442277390,-2,-1,-2,-3,-4,7,1,-1
1519732442279396,3,-2,-4,2,3,4,-2,1
1519732442279396,-1,-3,-1,0,-1,-15,-5,1
1519732442300452,-4,-5,-7,-3,3,14,5,-5
1519732442300452,-3,2,4,-4,-9,-1,0,0
1519732442301455,17,10,0,3,9,-5,-7,5
1519732442301455,-11,-8,0,-3,6,1,-4,-8
1519732442313486,1,0,-1,1,9,0,1,3
1519732442313486,-8,-1,5,7,-4,6,6,1
1519732442322512,2,0,-6,-10,-18,-3,-6,-2
1519732442322512,3,3,-1,-1,-4,8,3,1
1519732442338568,-4,-1,3,1,5,-16,-7,-2
1519732442338568,2,-3,-16,-7,-7,1,-4,-1
1519732442339557,1,2,13,-1,-11,1,6,3
1519732442339557,-7,-8,-5,11,14,5,6,-1
1519732442359609,-11,-3,9,-5,-8,5,3,-2
1519732442359609,14,13,4,9,10,-4,-3,-2
1519732442361615,13,3,-11,-13,-4,-7,-6,-1
1519732442361615,-8,-12,-22,-6,-17,-1,-2,-2
1519732442373651,-23,-10,24,6,3,-4,4,-1
1519732442373651,9,1,-10,-2,3,-3,-4,-2
1519732442382671,0,3,9,4,4,1,2,1
1519732442382671,11,7,-3,-8,-1,5,2,2
1519732442397711,2,-1,-7,-5,-14,-8,-6,-3
1519732442397711,-25,-16,2,10,4,0,2,-1
1519732442398713,4,3,-3,-6,6,0,0,-2
1519732442398713,-5,-4,-2,-7,-10,-8,-4,0
1519732442419770,4,4,-7,-2,-1,5,4,1
1519732442419770,5,6,6,-8,5,4,1,0
1519732442422778,-3,-4,-3,12,8,-2,-3,-1
1519732442422778,-11,-1,3,-9,-14,-6,-3,0
1519732442433806,-7,-5,-2,9,15,3,-2,-5
1519732442433806,21,11,-10,-15,-22,-3,-3,0
1519732442442831,6,6,0,8,24,-1,0,1
1519732442442831,11,10,16,1,-5,-1,2,2
1519732442457870,6,4,0,6,2,2,3,3
1519732442457870,-17,-12,-4,-1,5,3,2,-2
1519732442458874,-14,-11,-12,-7,-17,-4,0,-3
1519732442458874,-2,5,7,6,15,-1,-2,-2
1519732442479929,5,-1,-5,-10,-10,1,0,1
1519732442479929,3,-2,4,1,10,-7,-7,-2
1519732442481935,-9,-3,-6,-1,-7,1,1,-3
1519732442481935,7,11,12,9,8,1,1,1
1519732442493967,3,-2,-6,-9,-4,-2,-2,0
1519732442493967,-8,-6,0,6,1,2,2,-1
1519732442502991,-7,-6,4,-2,-1,4,1,1
1519732442502991,-15,-8,-11,-4,1,-8,-7,-7
1519732442517028,17,11,-6,-6,-4,-5,-4,0
1519732442517028,-2,-4,-9,-4,-4,0,1,0
1519732442520036,-1,3,6,2,0,-3,-1,-1
1519732442520036,10,0,2,4,-1,0,0,1
1519732442540090,-7,-14,-10,-4,-3,-2,-3,-3
1519732442540090,-10,-4,12,5,4,5,1,-1
1519732442542094,2,9,5,4,-3,-5,-2,1
1519732442542094,2,1,1,-5,3,2,2,1
1519732442554126,-11,-8,-8,-3,-4,-1,-1,-1
1519732442554126,-2,-2,-16,-11,-6,-2,-2,-4
1519732442563150,0,2,14,9,8,6,1,-3
1519732442563150,22,16,10,6,-5,-3,-2,2
1519732442577188,3,-4,-11,-10,-7,-6,-2,2
1519732442577188,-4,-3,0,4,5,-1,1,2
1519732442579193,-10,-7,-4,-4,7,4,0,-2
1519732442579193,-6,-6,-11,-12,-7,-3,-1,-3
1519732442600249,-13,-2,-1,7,-1,1,1,-3
1519732442600249,18,11,12,-3,-7,-1,0,4
1519732442601252,9,0,-1,3,-2,0,-1,2
1519732442601252,-28,-20,-11,-6,1,0,0,-7
1519732442613284,12,7,1,-6,-4,-2,-2,1
1519732442613284,3,-2,-2,4,2,-3,0,-2
1519732442622310,-4,1,1,0,1,-1,1,1
1519732442622310,4,-1,1,3,2,2,-1,2
1519732442637348,9,9,3,-2,-1,-3,-1,0
1519732442637348,-7,-3,-2,2,0,-1,-4,-3
1519732442639354,6,8,5,-7,-13,-5,-3,0
1519732442639354,-11,-6,-3,-6,-3,2,3,-3
1519732442660409,-20,-19,-9,-8,1,-4,-1,-4
1519732442660409,16,10,3,1,-5,-3,-2,2
1519732442661412,-2,-1,3,10,11,6,2,0
1519732442661412,-7,-5,0,6,4,-2,-4,0
1519732442673463,11,4,-6,-4,-19,-1,-2,0
1519732442673463,-8,-8,5,-7,-6,-4,2,-3
1519732442682468,-3,-9,-14,-10,-2,-3,-2,-2
1519732442682468,-4,1,5,5,-2,0,0,-1
1519732442697508,-10,-2,3,3,6,2,2,0
1519732442697508,2,-2,-9,-7,-3,-2,-3,-1
1519732442699514,9,4,-1,2,-3,-2,-2,-2
1519732442699514,14,3,1,-4,4,0,-1,1
1519732442720569,-6,0,6,5,4,2,2,-1
1519732442720569,-20,-8,5,1,5,3,2,-1
1519732442722577,15,17,-7,-7,-5,-3,-1,1
1519732442722577,7,4,-3,2,-2,-1,-3,-2
1519732442733604,29,9,5,-1,2,-1,-1,5
1519732442733604,-7,-5,1,-1,-2,3,0,-3
1519732442742629,-14,-15,-7,-2,10,-6,-4,-4
1519732442742629,-10,-5,2,3,-2,1,4,2
1519732442757668,-1,2,-4,-3,-1,-1,-1,-2
1519732442757668,9,7,-2,-1,-3,-3,-2,-7
1519732442758675,-6,-2,-2,-7,-9,0,1,-2
1519732442758675,24,17,5,0,-3,-1,-1,5
1519732442779726,-8,-6,-1,3,4,-2,0,0
1519732442779726,-29,-12,5,-1,-7,2,-2,-11
1519732442781732,30,18,-4,5,6,-6,-8,-3
1519732442781732,0,-2,-1,-2,-1,-2,0,1
1519732442793765,-14,-3,2,0,0,2,1,-5
1519732442793765,16,6,-15,-7,-6,-4,0,2
1519732442802788,-4,1,16,5,13,5,4,5
1519732442802788,-6,-2,-2,6,6,1,-1,-2
1519732442817828,-8,-7,1,0,3,0,-2,-3
1519732442817828,-11,1,4,3,2,4,3,1
1519732442819833,-8,-16,-7,-6,-9,1,1,0
1519732442819833,8,0,-6,-10,-10,-7,-5,-2
1519732442839888,6,5,1,1,7,0,0,-3
1519732442839888,6,6,5,5,1,-2,2,13
1519732442841893,-3,1,0,1,-4,2,3,1
1519732442841893,-20,-19,-6,-3,-1,-2,-5,-6
1519732442853924,-9,0,4,7,0,2,-2,0
1519732442853924,3,-10,-4,-4,-3,-4,-5,-5
1519732442862948,-6,-5,1,2,3,-1,-1,-1
1519732442862948,6,10,5,0,1,5,4,3
1519732442876985,15,4,-9,-6,0,-5,-5,-3
1519732442876985,-9,-9,-3,-3,5,1,3,-5
1519732442884004,-2,-4,-2,-3,-23,-6,-6,15
1519732442884004,1,1,-1,1,8,3,2,3
1519732442900051,-1,-3,0,3,5,6,-4,13
1519732442900051,4,2,-1,1,0,-8,-5,2
1519732442902053,-3,0,-2,-7,-5,3,2,-6
1519732442902053,-4,0,7,4,1,-3,-10,12
1519732442914084,3,-2,-3,-7,-13,-2,3,5
1519732442914084,6,2,-1,7,9,-1,4,-5
1519732442923109,-7,0,4,4,7,2,-3,0
1519732442923109,12,-2,-8,-9,-16,-8,2,-7
1519732442937146,8,6,3,3,2,0,4,1
1519732442937146,-15,-11,-6,-6,-6,1,1,12
1519732442944165,-16,-18,-4,0,6,-2,-1,-13
1519732442944165,9,14,-2,-4,-7,4,3,6
1519732442960207,-24,-12,0,-1,-2,-6,-2,-6
1519732442960207,30,12,-2,-6,-11,-6,-6,-6
1519732442961210,4,0,2,4,-4,2,0,5
1519732442961210,-22,-15,-5,-3,10,-11,-8,-12
1519732442973241,-8,-6,-3,-4,-5,8,7,-6
1519732442973241,7,10,1,-1,4,0,-1,5
1519732442982266,-7,1,-1,-2,-3,-3,0,0
1519732442982266,-6,-11,-3,2,3,8,-8,-3
1519732442997306,16,8,-5,-5,-9,-15,-7,-1
1519732442997306,-5,1,4,6,10,5,2,-1
1519732443003321,0,2,-2,-2,-1,1,4,1
1519732443003321,-1,-1,3,2,3,2,-1,-14
1519732443020368,3,-2,1,-1,0,4,1,5
1519732443020368,-30,-11,-2,-2,-3,-7,-3,-22
1519732443021374,-4,-3,-7,-8,-2,-1,-2,-4
1519732443021374,27,8,-2,-1,-5,-8,-3,0
1519732443033401,0,-1,0,3,5,-8,1,0
1519732443033401,6,7,0,-1,-8,6,-6,1
1519732443042426,-14,-12,-4,-1,5,5,0,-8
1519732443042426,-10,-1,0,-4,-13,-12,5,5
1519732443056463,12,-1,-1,-2,-1,-1,-8,-4
1519732443056463,6,1,-2,1,-9,-8,-3,1
1519732443063482,-4,-2,0,-3,1,-2,-2,-2
1519732443063482,-17,-11,-5,0,2,9,5,-10
1519732443079524,2,1,6,8,11,4,-7,13
1519732443079524,-7,-4,-4,-2,-3,-4,1,1
1519732443081529,17,3,-4,-3,-6,-7,-4,0
1519732443081529,-7,-5,-8,-4,-3,-3,3,-4
1519732443103588,-14,-2,2,-4,6,11,4,-9
1519732443103588,-5,-4,4,3,10,-2,2,-8
1519732443105601,-3,1,-3,-1,-8,-11,-4,1
1519732443105601,12,8,-4,-2,12,-1,-10,-1
1519732443116623,-7,-8,-3,-1,-11,0,-2,-6
1519732443116623,11,3,5,1,2,7,1,5
1519732443123648,5,5,4,9,11,4,7,22
1519732443123648,-15,-15,-1,-4,-11,0,-1,-1
1519732443139686,8,7,-9,-5,-8,-8,4,-4
1519732443139686,-3,3,2,1,16,4,-2,3
1519732443141689,-1,2,3,0,-7,3,1,-14
1519732443141689,-4,-2,1,1,-2,2,-4,-5
1519732443162745,-15,-6,-1,0,-3,-13,-6,1
1519732443162745,16,9,-3,-2,1,7,1,2
1519732443163748,9,6,1,-2,-12,8,-3,-8
1519732443163748,5,-2,-3,-1,9,-7,1,1
1519732443176783,-1,0,-1,0,-3,-7,-2,-7
1519732443176783,-11,-9,-5,-6,-11,-11,-7,0
1519732443183802,-9,-4,0,5,13,-2,-2,-3
1519732443183802,-8,-1,11,7,2,3,-4,-1
1519732443199844,24,17,-2,-3,-12,-2,3,6
1519732443199844,-5,-7,-7,-1,3,-7,-2,0
1519732443201850,-11,-9,-6,-7,-2,6,0,-3
1519732443201850,11,9,3,5,8,-3,4,4
1519732443222907,-2,-3,0,-5,-4,12,1,-3
1519732443222907,0,-1,3,3,0,2,-4,0
1519732443223915,-19,-20,-8,-3,1,-19,-7,-9
1519732443223915,20,19,-11,-7,-14,6,4,10
1519732443235941,11,11,12,2,-2,-13,-3,-1
1519732443235941,5,9,6,6,7,-5,-1,-2
1519732443244964,-6,-20,-10,-7,-6,17,7,2
1519732443244964,-1,-8,-3,3,9,2,-2,0
1519732443260004,6,11,-5,-4,-2,14,3,3
1519732443260004,-14,-11,-3,-1,-3,-18,-1,-4
1519732443262010,-10,1,10,0,4,6,3,0
1519732443262010,-1,-5,-1,-4,-7,-5,-6,-8
1519732443283066,0,-1,-11,-9,-3,-4,-1,-1
1519732443283066,-3,-4,3,8,2,7,2,-3
1519732443284069,-1,-1,1,-8,-16,-15,-5,-3
1519732443284069,-14,-7,-1,14,21,20,15,5
1519732443296100,-5,-1,18,2,-13,1,-2,-2
1519732443296100,0,3,-4,0,7,10,4,1
1519732443305131,29,12,-11,-5,-4,-8,1,6
1519732443305131,-2,1,2,-9,-7,-4,-3,2
1519732443320164,1,-5,-10,-1,-2,-4,-6,-5
1519732443320164,-7,-10,-13,-9,-7,-1,-1,1
1519732443323180,-1,6,16,5,3,-1,-3,-3
1519732443323180,-4,-1,3,4,1,-2,-1,0
1519732443342223,2,-6,-9,-4,2,-2,-2,-3
1519732443342223,-13,-12,-6,-2,0,-1,-1,-3
1519732443344229,10,15,8,-7,5,4,0,1
1519732443344229,1,-1,-5,6,4,5,-1,0
1519732443356260,-21,-12,9,8,12,-14,-3,-4
1519732443356260,-6,-4,-12,-7,-17,2,2,-1
1519732443365285,5,-7,-16,-9,4,-8,-6,-2
1519732443365285,1,8,9,8,5,6,3,4
1519732443380325,2,-3,7,5,8,3,1,0
1519732443380325,5,5,6,5,10,5,1,-4
1519732443381328,12,8,0,-1,-6,4,2,2
1519732443381328,-12,-8,-10,-17,-17,-14,-7,-4
1519732443402383,-9,-8,-9,1,1,6,2,1
1519732443402383,-15,-9,-4,-12,-13,1,1,1
1519732443405400,2,1,-4,5,9,1,-3,-3
1519732443405400,2,9,25,7,-3,-3,1,1
1519732443416420,4,0,-7,-1,10,1,-1,0
1519732443416420,-1,-7,3,-7,-2,-1,-2,-1
1519732443425444,0,3,-17,4,-4,-2,-3,-4
1519732443425444,-26,-18,4,-1,-1,0,2,-3
1519732443440485,25,18,-1,-13,-9,-2,-1,4
1519732443440485,18,10,1,9,7,-1,-3,-2
1519732443441487,-8,-5,0,6,13,0,0,-3
1519732443441487,3,-4,-5,-2,-10,-4,0,2
1519732443462543,-15,-8,2,4,4,4,3,-3
1519732443462543,-2,-5,1,-2,-1,1,-1,-1
1519732443464549,7,11,6,1,-4,-1,1,3
1519732443464549,-4,-5,-15,-9,3,-1,-3,-3
1519732443476580,16,14,5,6,-2,0,-1,4
1519732443476580,0,-4,0,-1,-7,-5,-5,-3
1519732443492623,-32,-25,3,3,4,2,1,-2
1519732443492623,9,-4,-5,-8,-8,-3,-1,-2
1519732443499646,2,-2,-17,-6,-2,-4,-5,-3
1519732443499646,-18,-1,19,7,-3,7,8,4
1519732443501648,30,16,4,0,-4,-3,-3,1
1519732443501648,10,4,-11,-2,0,-2,-5,-3
1519732443522704,-17,-18,-6,-4,-2,-2,-2,-4
1519732443522704,-4,-5,-5,-5,-1,-1,-2,-2
1519732443523715,-9,-4,1,-1,-1,3,2,1
1519732443523715,-26,-13,-2,-3,-5,-1,3,-2
1519732443536741,4,4,4,6,4,-1,-3,-3
1519732443536741,35,28,0,-4,5,-1,-4,5
1519732443544762,3,6,1,6,-3,-2,1,2
1519732443544762,-10,-11,8,5,4,1,1,2
1519732443559802,-27,-14,-4,-5,-9,1,0,-5
1519732443559802,9,-1,-1,2,2,2,3,3
1519732443561807,0,0,-9,-5,-4,-7,-6,-7
1519732443561807,-7,-5,-1,-1,-3,-1,-1,-4
1519732443582863,-3,6,4,2,4,4,3,-1
1519732443582863,15,1,-8,-8,-2,-2,-1,1
1519732443583866,13,14,0,1,-7,-4,-3,1
1519732443583866,-10,-6,0,1,1,0,-2,-6
1519732443595898,4,6,-1,0,3,1,0,-2
1519732443595898,5,7,-6,-5,-19,-6,-2,-2
1519732443604925,9,-2,-1,2,2,-1,0,3
1519732443604925,5,5,-5,-5,-1,0,1,0
1519732443619962,-24,-3,0,3,3,-1,-1,-4
1519732443619962,-22,-27,5,3,6,4,0,-1
1519732443621971,-7,0,-2,-4,-9,-4,-2,-4
1519732443621971,25,14,-5,-2,0,0,-1,1
1519732443643024,5,3,-2,-4,-17,-6,-1,3
1519732443643024,-22,-19,-4,7,22,5,-1,-4
1519732443644026,-46,-31,4,4,4,3,3,-2
1519732443644026,49,38,-1,-7,-3,-10,-11,-2
1519732443656058,-9,-17,-2,2,1,10,1,-2
1519732443656058,2,5,-2,-5,-5,-10,1,3
1519732443665083,-21,-21,-8,-7,-5,0,-4,-8
1519732443665083,2,10,3,1,1,-2,0,2
1519732443680122,-4,1,12,10,17,4,1,0
1519732443680122,20,11,-4,-3,-12,-5,-3,2
1519732443682127,-2,-4,0,3,8,6,7,3
1519732443682127,-5,-6,-1,-1,-11,-4,-2,-2
1519732443702180,22,-7,-18,-12,-9,-9,-11,-7
1519732443702180,-19,-10,3,-6,-4,1,2,-1
1519732443705190,13,9,2,3,12,0,-2,0
1519732443705190,-16,-9,3,9,11,2,3,-1
1519732443716218,-24,-17,0,5,0,1,4,-2
1519732443716218,11,5,-3,-9,-6,0,-1,2
1519732443725242,27,12,-4,-6,-13,-4,1,2
1519732443725242,-18,-7,-1,1,14,13,-4,-3
1519732443740282,-12,-6,1,-4,-2,-17,3,-6
1519732443740282,8,12,0,3,-8,-6,0,2
1519732443742287,2,1,-7,-10,-2,-2,-3,-2
1519732443742287,-17,-9,-2,1,4,7,5,-1
1519732443762340,25,13,-3,-2,-13,-9,-3,3
1519732443762340,-27,-15,3,7,18,8,2,-8
1519732443764346,7,3,3,0,-14,-8,-2,2
1519732443764346,1,5,0,-5,-6,-2,7,3
1519732443776378,3,1,-3,-3,1,4,-11,-1
1519732443776378,-6,-5,-3,-2,-5,-6,2,-1
1519732443785402,-11,-7,-6,-5,5,3,0,-1
1519732443785402,15,5,0,-2,-22,-10,-2,-1
1519732443799439,-4,-9,-1,7,21,0,-4,1
1519732443799439,9,18,1,-5,-4,3,-3,1
1519732443806468,-4,-6,-1,-1,4,-3,-7,-3
1519732443806468,19,7,-2,-3,-5,-5,3,5
1519732443822501,-19,-12,1,0,-1,3,1,-5
1519732443822501,17,12,-5,-3,-6,-3,-10,-6
1519732443824506,-16,-12,5,4,0,13,14,2
1519732443824506,8,-6,-4,2,8,-2,-8,11
1519732443836538,-3,-4,6,4,1,6,5,5
1519732443836538,11,17,-2,-3,-1,-4,-1,0
1519732443845562,25,16,0,-1,11,-3,-6,0
1519732443845562,-10,-10,-5,-2,-3,-3,-6,-4
1519732443859599,1,4,1,-4,-8,1,3,2
1519732443859599,-21,0,9,8,10,10,8,4
1519732443866618,17,11,0,-3,-6,-16,-17,-11
1519732443866618,-1,-3,0,2,5,-1,-1,11
1519732443882660,4,5,-5,-9,-8,-4,0,3
1519732443882660,9,2,-2,6,13,17,4,-3
1519732443883664,-16,-9,1,-4,-15,-22,-2,-32
1519732443883664,-12,-9,3,3,7,6,-10,-4
1519732443895695,20,15,-2,-8,-31,-16,-2,4
1519732443895695,-13,-18,-4,3,19,2,1,0
1519732443905723,-8,-14,-6,5,8,18,8,5
1519732443905723,-4,-1,-1,-4,-4,-8,-2,-9
1519732443919759,-5,2,1,1,5,8,5,2
1519732443919759,-2,-1,-3,-4,-11,-4,-14,-16
1519732443922768,8,1,-2,-1,-11,-24,-15,-11
1519732443922768,-10,-3,-1,-1,3,-1,-1,-7
1519732443942820,5,9,2,3,-2,1,2,2
1519732443942820,-3,-8,-1,-2,-5,-2,-2,2
1519732443943824,-12,-9,-4,-4,-6,9,3,3
1519732443943824,8,9,2,1,-8,-8,3,2
1519732443955855,-6,-10,-2,0,14,13,0,-4
1519732443955855,-5,-3,1,1,-8,-12,2,3
1519732443964879,-11,-5,1,2,-3,-2,3,7
1519732443964879,6,6,-4,-5,0,21,14,5
1519732443979920,24,13,-2,0,0,-2,-8,12
1519732443979920,-30,-21,1,-1,-1,-4,-2,-6
1519732443981925,16,10,-3,-3,0,-1,7,10
1519732443981925,-6,-2,0,3,4,15,2,-4
1519732444002980,-21,-11,4,3,9,-4,1,-3
1519732444002980,33,13,-12,-12,-11,-7,-11,-5
1519732444004990,16,13,5,1,-4,4,2,9
1519732444004990,1,3,2,-1,1,-12,-4,-1
1519732444025040,0,-2,0,1,3,2,-1,-8
1519732444025040,-6,-6,4,-1,-5,-3,1,2
1519732444027045,-27,-22,-12,-2,0,0,2,0
1519732444027045,14,12,-7,-8,-7,-9,0,-2
1519732444040083,19,15,1,3,1,-4,-2,2
1519732444040083,2,7,17,13,13,22,6,0
1519732444042085,-4,2,7,6,3,-9,2,-1
1519732444042085,-17,-15,-5,1,-1,0,-3,1
1519732444062138,-14,-6,-7,-13,-4,3,3,-5
1519732444062138,4,-8,-20,-10,-7,-11,-5,0
1519732444064144,-5,3,16,3,-2,12,-2,0
1519732444064144,-7,-7,-5,3,3,-4,-1,0
1519732444085199,10,12,0,-1,3,7,5,-1
1519732444085199,1,3,4,2,-3,-7,4,6
1519732444086202,-6,-8,-3,-2,4,-3,-11,0
1519732444086202,1,-3,-8,-5,1,-7,-7,-10
1519732444100239,-5,-7,2,3,1,16,11,13
1519732444100239,-5,3,3,3,-3,-19,-15,1
1519732444101242,2,6,-1,-2,-4,-1,4,3
1519732444101242,4,3,-2,1,-2,-9,-7,-2
1519732444122298,-3,-3,6,1,4,6,-5,-7
1519732444122298,-6,-3,-3,-3,-4,0,4,-4
1519732444124303,-3,-1,-11,-6,-6,3,0,-1
1519732444124303,16,11,12,3,-1,0,1,3
1519732444145359,8,3,-1,-1,-2,-21,-6,-2
1519732444145359,-15,-20,-4,1,1,5,1,-2
1519732444146362,4,5,-4,-4,-5,3,0,-6
1519732444146362,-12,-11,-7,-3,4,10,12,0
1519732444159397,-14,-14,-9,-4,-5,-15,-7,-2
1519732444159397,-3,0,15,7,5,6,-1,-2
1519732444166417,21,15,-2,-1,-6,-9,-4,2
1519732444166417,7,6,6,4,1,-7,-5,2
1519732444182458,-17,-12,-1,-1,-1,11,-1,-8
1519732444182458,-5,-10,-20,-14,-18,-23,0,-1
1519732444184464,-5,1,2,-1,9,13,-2,-1
1519732444184464,0,2,8,9,0,8,6,2
1519732444205521,6,7,5,8,-3,-14,-3,3
1519732444205521,-6,2,3,-4,-4,15,10,-6
1519732444206527,-1,-2,-2,-8,-15,-8,-2,0
1519732444206527,9,-3,-6,-8,-3,-6,-10,-2
1519732444219557,-2,-5,-8,-2,0,10,5,-2
1519732444219557,3,4,0,0,6,2,3,1
1519732444226575,2,2,1,0,0,0,-4,2
1519732444226575,-12,-4,6,1,-6,-20,-6,-6
1519732444242618,-7,-3,1,3,-3,-1,-3,-7
1519732444242618,-13,-8,-9,-5,2,5,1,-3
1519732444244624,6,5,-3,-4,-1,-1,1,2
1519732444244624,10,9,0,0,-8,2,2,2
1519732444264677,-2,-4,1,2,9,3,0,-1
1519732444264677,-2,-4,-4,-2,0,-6,-1,1
1519732444266682,-15,-8,-2,-2,4,8,2,-2
1519732444266682,-9,-8,-2,-2,0,1,-2,1
1519732444278714,6,5,0,-4,-1,-2,3,-1
1519732444278714,0,-2,2,2,3,4,-1,3
1519732444287751,9,11,-3,6,3,-4,-4,1
1519732444287751,-2,-8,13,-3,1,-4,-4,-6
1519732444302778,-4,-5,-10,-4,4,3,2,-4
1519732444302778,-1,-1,6,5,3,0,0,2
1519732444304790,13,7,1,2,1,-5,0,3
1519732444304790,-5,-4,-12,4,22,7,4,0
1519732444324837,-13,-11,0,-4,-7,-2,-2,-2
1519732444324837,5,7,-6,-9,-4,-3,-2,-1
1519732444326842,-2,-5,-3,-2,-4,-1,-1,-4
1519732444326842,4,4,14,2,-5,2,-1,2
1519732444338882,-10,-6,-6,5,1,-5,0,1
1519732444338882,24,12,-1,-2,0,1,-1,4
1519732444347898,-16,-13,-2,-6,-4,-1,-2,-6
1519732444347898,-2,-2,-11,-4,-7,-2,0,-3
1519732444362939,10,9,11,-4,-6,-2,-1,2
1519732444362939,0,-3,-6,1,-4,-2,-4,-4
1519732444363941,-2,0,-5,3,2,-2,-2,1
1519732444363941,-7,-2,4,-11,-6,1,2,0
1519732444384999,0,7,-2,6,15,0,-1,-3
1519732444384999,6,-2,7,4,0,2,-1,1
1519732444387002,2,0,-8,-6,2,1,2,2
1519732444387002,-12,-14,-11,-2,-3,-3,-4,-6
1519732444399034,-5,3,1,-1,-6,-1,0,-1
1519732444399034,14,16,14,-3,-3,0,0,0
1519732444408059,-12,-13,1,8,5,-1,1,-3
1519732444408059,7,10,1,-3,-3,-2,-2,3
1519732444423099,-3,-9,-19,-4,-4,-3,-2,-3
1519732444423099,5,7,9,-3,-3,-2,-2,0
1519732444424101,-8,-5,0,1,3,3,3,0
1519732444424101,-9,-8,9,15,4,3,0,2
1519732444445157,18,10,-1,-3,-4,-5,-7,-3
1519732444445157,-22,-18,-10,-5,-2,-2,-2,-4
1519732444447162,-14,-7,-5,-4,2,3,2,0
1519732444447162,7,5,-5,-11,-6,2,0,-1
1519732444459194,10,3,2,4,-7,-8,-6,-1
1519732444459194,-5,-2,-5,-2,3,2,0,-3
1519732444467217,-15,-14,5,1,-2,1,2,-4
1519732444467217,15,12,-7,-2,-2,-5,0,2
1519732444482256,6,2,5,-4,-11,-2,-1,1
1519732444482256,-7,2,-7,9,13,3,0,-2
1519732444484262,20,18,20,8,3,-3,0,6
1519732444484262,-10,-8,-11,-9,-16,-1,-1,-4
1519732444505318,-43,-32,-10,-9,-2,3,2,-4
1519732444505318,40,19,-2,-4,-6,-5,-3,4
1519732444506360,18,19,6,2,1,1,0,1
1519732444506360,-6,-7,2,9,5,-1,-1,-1
1519732444518352,3,-2,-8,-14,-4,-3,0,-1
1519732444518352,-24,-16,-7,4,1,0,1,-1
1519732444527376,1,1,2,2,1,-1,-2,1
1519732444527376,7,8,11,-1,-7,-1,-2,-1
1519732444542418,-43,-30,-1,6,11,3,0,-8
1519732444542418,29,15,-6,-9,-9,-3,-2,1
1519732444544421,7,3,-1,-1,-2,-2,-4,0
1519732444544421,-10,-8,-12,-8,0,0,-1,-1
1519732444565477,2,4,5,5,7,3,1,1
1519732444565477,-9,-7,10,10,9,-1,0,1
1519732444566480,-4,-3,1,-8,-15,-3,-2,-2
1519732444566480,-12,-10,-8,-1,3,2,2,-2
1519732444578511,11,9,-3,-2,-2,-3,-2,-1
1519732444578511,-15,-9,-4,-3,-3,-1,-1,-3
1519732444587540,36,15,-3,-3,-2,9,-3,2
1519732444587540,4,6,7,7,5,-18,-5,0
1519732444602575,4,-1,-5,-5,-1,0,-1,1
1519732444602575,-14,-7,1,0,-1,1,3,-3
1519732444605585,-6,7,-1,5,5,1,3,2
1519732444605585,10,-2,-18,-11,-10,1,-3,-2
1519732444624635,15,15,13,0,3,0,1,2
1519732444624635,-4,2,8,8,4,-1,0,1
1519732444626640,-16,-11,-7,-2,1,-1,2,-1
1519732444626640,-8,-6,-1,0,1,3,0,-3
1519732444638677,9,6,-8,-5,-10,-5,-4,0
1519732444638677,-2,-2,-1,-5,-3,1,-2,-3
1519732444647696,-13,-11,-3,-5,0,-2,2,-4
1519732444647696,13,13,8,7,5,2,3,8
1519732444662735,-15,-9,4,2,1,1,-2,-5
1519732444662735,1,-5,-11,-9,-5,-6,-6,-7
1519732444663739,11,7,-2,0,1,-4,-2,0
1519732444663739,-17,-13,0,2,1,1,1,-3
1519732444684795,-2,1,-2,0,0,1,5,2
1519732444684795,-14,-12,1,0,-2,-2,-4,4
1519732444686800,44,25,-9,-12,-10,-11,-15,-10
1519732444686800,1,7,9,5,1,4,2,0
1519732444698831,3,-3,0,2,0,-1,-1,-1
1519732444698831,-24,-13,-5,1,0,-7,1,-4
1519732444707856,-15,-12,1,1,-2,8,4,3
1519732444707856,3,6,-1,-7,-1,1,1,-4
1519732444722897,8,9,0,3,8,-3,-1,1
1519732444722897,14,5,3,0,-9,-3,-2,-2
1519732444723899,-13,-8,0,-2,1,-3,4,-1
1519732444723899,4,2,-12,-8,-8,0,-3,0
1519732444744954,-7,-1,8,3,-3,1,2,1
1519732444744954,8,6,3,3,4,2,0,1
1519732444746960,-20,-10,3,2,1,1,1,-2
1519732444746960,-2,-7,-6,-5,-3,-3,-2,-4
1519732444758992,16,4,-5,-4,-3,-3,-1,2
1519732444758992,6,13,-5,-6,-2,1,-1,-1
1519732444768016,-31,-21,5,8,8,2,1,-2
